number of most frequent words:,10,number of articles per category:,20
 ,Culture_20,Nature_20,Concepts_20,History_20,Technology_20,Arts_20,Entertainment_20,Business_20,Society_20,Life_20,People_20,Universe_20,Language_20,Religion_20,Reference_20,Science_20,Law_20,Events_20,Health_20,Education_20,Philosophy_20,Humanities_20,World_20,Mathematics_20,Sports_20,Politics_20,Geography_20
Culture_20,1.0,0.01,0.025,0.05,0.025,0.045,0.025,0.02,0.045,0.02,0.03,0.025,0.055,0.065,0.015,0.01,0.005,0.025,0.03,0.05,0.03,0.045,0.02,0.025,0.01,0.01,0.01
Nature_20,0.01,1.0,0.05,0.025,0.015,0.015,0.005,0.01,0.015,0.03,0.01,0.185,0.025,0.02,0.015,0.065,0.015,0.025,0.02,0.01,0.03,0.015,0.01,0.05,0.01,0.005,0.04
Concepts_20,0.025,0.05,1.0,0.04,0.04,0.01,0.01,0.04,0.02,0.03,0.01,0.05,0.04,0.015,0.055,0.02,0.035,0.005,0.015,0.03,0.045,0.03,0.01,0.08,0.02,0.005,0.01
History_20,0.05,0.025,0.04,1.0,0.02,0.035,0.005,0.035,0.015,0.035,0.035,0.065,0.025,0.025,0.035,0.04,0.015,0.04,0.035,0.035,0.045,0.04,0.04,0.035,0.005,0.02,0.02
Technology_20,0.025,0.015,0.04,0.02,1.0,0.04,0.02,0.05,0.01,0.025,0.005,0.02,0.015,0.02,0.04,0.035,0.05,0.03,0.015,0.025,0.035,0.04,0.05,0.03,0.025,0.025,0.07
Arts_20,0.045,0.015,0.01,0.035,0.04,1.0,0.025,0.005,0.02,0.03,0.035,0.015,0.015,0.04,0.025,0.01,0.015,0.03,0.01,0.03,0.025,0.01,0.02,0.025,0.02,0.01,0.025
Entertainment_20,0.025,0.005,0.01,0.005,0.02,0.025,1.0,0.045,0.025,0.025,0.015,0.015,0.015,0.05,0.035,0.01,0.01,0.04,0.01,0.015,0.015,0.045,0.0,0.015,0.05,0.01,0.015
Business_20,0.02,0.01,0.04,0.035,0.05,0.005,0.045,1.0,0.04,0.025,0.015,0.05,0.05,0.025,0.03,0.025,0.045,0.02,0.045,0.06,0.025,0.04,0.055,0.03,0.045,0.02,0.04
Society_20,0.045,0.015,0.02,0.015,0.01,0.02,0.025,0.04,1.0,0.015,0.035,0.02,0.035,0.02,0.015,0.065,0.05,0.04,0.015,0.03,0.04,0.025,0.04,0.01,0.025,0.025,0.03
Life_20,0.02,0.03,0.03,0.035,0.025,0.03,0.025,0.025,0.015,1.0,0.025,0.025,0.025,0.045,0.04,0.02,0.01,0.03,0.03,0.015,0.045,0.025,0.02,0.005,0.02,0.01,0.03
People_20,0.03,0.01,0.01,0.035,0.005,0.035,0.015,0.015,0.035,0.025,1.0,0.015,0.015,0.055,0.025,0.035,0.03,0.01,0.03,0.025,0.025,0.025,0.015,0.015,0.025,0.065,0.045
Universe_20,0.025,0.185,0.05,0.065,0.02,0.015,0.015,0.05,0.02,0.025,0.015,1.0,0.025,0.02,0.015,0.045,0.03,0.055,0.025,0.015,0.03,0.01,0.02,0.045,0.01,0.03,0.05
