number of most frequent words:,50,number of articles per category:,50
 ,Language_50,Reference_50,Religion_50,Science_50,Arts_50,Entertainment_50,Business_50,Society_50,Life_50,People_50,Universe_50,Nature_50,Concepts_50,History_50,Technology_50,Culture_50,Mathematics_50,Sports_50,Politics_50,Geography_50,Humanities_50,World_50,Education_50,Philosophy_50,Law_50,Events_50,Health_50
Language_50,1.0,0.4472671285604311,0.4109386548410939,0.42058623040218135,0.38357142857142856,0.3849929873772791,0.5451219512195122,0.4241552839683681,0.4392,0.3888888888888889,0.4353369763205829,0.3956386292834891,0.45955555555555555,0.43636363636363634,0.4407158836689038,0.4286792452830189,0.4485514485514486,0.3989560029828486,0.4588744588744589,0.4174397031539889,0.4043927648578811,0.39701704545454547,0.47332768839966133,0.44433497536945815,0.433201581027668,0.4037985136251032,0.39807976366322007
Reference_50,0.535483870967742,1.0,0.43680709534368073,0.4723926380368098,0.42714285714285716,0.4431977559607293,0.5792682926829268,0.48166786484543495,0.4856,0.43803418803418803,0.47176684881602915,0.4485981308411215,0.5226666666666666,0.48300395256916995,0.48471290082028334,0.4762264150943396,0.5074925074925075,0.4563758389261745,0.48744588744588746,0.49536178107606677,0.4509043927648579,0.45454545454545453,0.5232853513971211,0.4916256157635468,0.4774703557312253,0.4665565648224608,0.4519940915805022
Religion_50,0.5124423963133641,0.45496535796766746,1.0,0.4662576687116564,0.45285714285714285,0.43899018232819076,0.5378048780487805,0.47304097771387493,0.4912,0.48717948717948717,0.4471766848816029,0.4205607476635514,0.4746666666666667,0.49881422924901186,0.43475018642803875,0.4928301886792453,0.45454545454545453,0.43400447427293065,0.529004329004329,0.45640074211502785,0.45930232558139533,0.46875,0.5131244707874683,0.547783251231527,0.5122529644268775,0.45251857968620973,0.4564254062038405
Science_50,0.5686635944700461,0.5334872979214781,0.5055432372505543,1.0,0.48142857142857143,0.47054698457223,0.6426829268292683,0.5327102803738317,0.5648,0.49145299145299143,0.5491803278688525,0.5218068535825545,0.584,0.5446640316205533,0.5398956002982849,0.5207547169811321,0.5644355644355644,0.49440715883668906,0.5497835497835498,0.5417439703153989,0.4928940568475452,0.515625,0.5825571549534293,0.5714285714285714,0.5241106719367589,0.5169281585466556,0.5022156573116692
Arts_50,0.4949308755760369,0.4603541185527329,0.4685883222468588,0.4594410361281527,1.0,0.49298737727910236,0.5585365853658537,0.4867002156721783,0.4856,0.45584045584045585,0.4517304189435337,0.4190031152647975,0.4862222222222222,0.5019762845849802,0.4615958240119314,0.5026415094339622,0.47952047952047955,0.4608501118568233,0.503030303030303,0.4619666048237477,0.4806201550387597,0.44957386363636365,0.5182049110922947,0.529064039408867,0.48458498023715413,0.500412881915772,0.44091580502215655
Entertainment_50,0.5059907834101383,0.4865280985373364,0.4626755358462675,0.45739604635310155,0.5021428571428571,1.0,0.6012195121951219,0.5003594536304816,0.5024,0.46794871794871795,0.4553734061930783,0.4221183800623053,0.48355555555555557,0.4964426877470356,0.49217002237136465,0.5049056603773585,0.47152847152847155,0.49739000745712153,0.5038961038961038,0.47031539888682744,0.4702842377260982,0.4637784090909091,0.5342929720575783,0.5201970443349754,0.4964426877470356,0.523534269199009,0.4564254062038405
Business_50,0.4119815668202765,0.36566589684372597,0.3259423503325942,0.3592365371506476,0.3271428571428571,0.34572230014025246,1.0,0.3989935298346513,0.3752,0.3198005698005698,0.3907103825136612,0.3442367601246106,0.416,0.3731225296442688,0.40119313944817303,0.3479245283018868,0.41358641358641357,0.3579418344519016,0.40606060606060607,0.3682745825602968,0.32622739018087854,0.3664772727272727,0.4445385266723116,0.36354679802955664,0.3865612648221344,0.36168455821635015,0.3759231905465288
Society_50,0.543778801843318,0.5157813702848345,0.48632668144863267,0.5051124744376279,0.4835714285714286,0.48807854137447404,0.676829268292683,1.0,0.5192,0.48504273504273504,0.51183970856102,0.48598130841121495,0.5342222222222223,0.5383399209486166,0.5398956002982849,0.5222641509433962,0.5274725274725275,0.511558538404176,0.6025974025974026,0.5092764378478665,0.4877260981912145,0.5291193181818182,0.5817104149026249,0.554679802955665,0.5588932806324111,0.5342691990090834,0.5155096011816839
Life_50,0.5059907834101383,0.46728252501924555,0.4538063562453806,0.4812542603953647,0.43357142857142855,0.44039270687237025,0.5719512195121951,0.46657081236520487,1.0,0.43447293447293445,0.4790528233151184,0.4501557632398754,0.5093333333333333,0.46956521739130436,0.4645786726323639,0.47094339622641507,0.4945054945054945,0.44966442953020136,0.4683982683982684,0.46289424860853434,0.4412144702842377,0.4509943181818182,0.5122777307366638,0.5280788177339901,0.4735177865612648,0.458298926507019,0.4527326440177253
People_50,0.5032258064516129,0.47344110854503463,0.5055432372505543,0.4703476482617587,0.45714285714285713,0.46072931276297335,0.5475609756097561,0.4895758447160316,0.488,1.0,0.453551912568306,0.4252336448598131,0.4702222222222222,0.5130434782608696,0.45786726323639076,0.49660377358490565,0.4565434565434565,0.45563012677106635,0.5333333333333333,0.4805194805194805,0.46770025839793283,0.4744318181818182,0.4995766299745978,0.5192118226600986,0.5138339920948617,0.4764657308009909,0.4601181683899557
