Algorithm,Baseline,originalTitle,originalCategory,Language_50,Reference_50,Religion_50,Science_50,Arts_50,Entertainment_50,Business_50,Society_50,Life_50,People_50,Universe_50,Nature_50,Concepts_50,History_50,Technology_50,Culture_50,Mathematics_50,Sports_50,Politics_50,Geography_50,Humanities_50,World_50,Education_50,Philosophy_50,Law_50,Events_50,Health_50
LSI,BigBaseline01,Angelic tongues,Language_50,0.62993705,0.6563378,0.2620448,0.22239001,0.1665688,0.17904542,0.62290645,0.1625953,0.3118692,0.12052954,0.25623724,0.4534881,0.5627953,0.4566613,0.1703829,0.16530079,0.34360808,0.42993617,0.24756174,0.42484647,0.20795573,0.4833689,0.41788587,0.044761807,0.28998718,0.22781496,0.8613457
LSI,BigBaseline01,Arendalsk,Language_50,0.15836146,0.36174268,0.08161548,0.08694355,0.05099284,0.10551986,0.1762225,0.07085785,0.1297304,0.046434753,0.08070419,0.1238885,0.8786818,0.10684307,0.061832666,0.37703317,0.04194212,0.06719343,0.1340954,0.114217095,0.15662245,0.13365152,0.08995053,0.01640711,0.26889107,0.08144428,0.4500628
LSI,BigBaseline01,Baenan language,Language_50,0.22200751,0.47960746,0.17334418,0.1742284,0.16314462,0.2606398,0.2054981,0.20735711,0.22631073,0.06585099,0.3358937,0.27816337,0.9493614,0.1619856,0.113871485,0.0963795,0.2033183,0.13451585,0.19385755,0.18602443,0.25754368,0.30342615,0.20796748,0.040783677,0.15676534,0.20545936,0.54449713
LSI,BigBaseline01,Bangladeshi English,Language_50,0.2402578,0.322114,0.2021532,0.1934926,0.98767984,0.28216413,0.22898307,0.33604157,0.24136496,0.08719595,0.28318995,0.44955698,0.20762561,0.17778622,0.10641122,0.15086049,0.40315083,0.2767262,0.19217923,0.37689203,0.35553804,0.3270614,0.24155661,0.03107661,0.15748045,0.21403266,0.29902565
LSI,BigBaseline01,Communication theory,Language_50,0.28359357,0.55285877,0.36655456,0.21066013,0.15512168,0.1897533,0.22397576,0.21219999,0.31706285,0.27331653,0.2553416,0.49138528,0.82905465,0.22845423,0.16056971,0.113810904,0.1849799,0.17848033,0.28280345,0.25584084,0.3620002,0.5411203,0.23765902,0.060688518,0.20018762,0.24133621,0.50871825
LSI,BigBaseline01,Complex text layout,Language_50,0.35365582,0.41706386,0.35183778,0.27344054,0.22741994,0.3728184,0.22660278,0.37646216,0.33133414,0.299752,0.26454005,0.36053634,0.9121031,0.22379826,0.17543918,0.12189987,0.2656584,0.19318518,0.23048869,0.24751395,0.3807671,0.291735,0.20139265,0.07861519,0.422808,0.26284227,0.5570952
LSI,BigBaseline01,Cooperative principle,Language_50,0.2044653,0.38716042,0.1495478,0.14729846,0.18006758,0.15577155,0.18227853,0.17358384,0.20977528,0.11245845,0.15651734,0.21888307,0.7755244,0.17902079,0.11752126,0.053948924,0.1491493,0.13151333,0.26973385,0.14464249,0.71062654,0.15634887,0.13075039,0.08788349,0.14169307,0.1109866,0.3909669
LSI,BigBaseline01,Discourse-completion task,Language_50,0.18605638,0.49307203,0.13631383,0.14543468,0.09676329,0.23391646,0.1837489,0.12509334,0.21400616,0.06778894,0.10367355,0.22175491,0.9792969,0.17103174,0.08640739,0.080418125,0.08928439,0.112820625,0.21512952,0.13577054,0.25913662,0.17757045,0.12505792,0.03891333,0.22100745,0.11136349,0.40433437
LSI,BigBaseline01,Donor principle,Language_50,0.28234866,0.49512327,0.16538657,0.18124664,0.1355992,0.2584687,0.19435403,0.21648306,0.2402906,0.07354928,0.13461447,0.29533985,0.9590617,0.22354694,0.11670099,0.07259205,0.15137732,0.1819259,0.20494233,0.20823407,0.22312093,0.23739019,0.14878915,0.029691093,0.4362723,0.12651835,0.53104204
LSI,BigBaseline01,IETF language tag,Language_50,0.2016442,0.22507599,0.6144732,0.26065332,0.094333164,0.1598053,0.17507894,0.28380725,0.26139542,0.09817551,0.18063241,0.20644712,0.31806725,0.2383107,0.15759172,0.08570768,0.111358,0.13367811,0.1119701,0.15351805,0.22271748,0.1961832,0.30697206,0.12523665,0.78437495,0.2633421,0.40411296
LSI,BigBaseline01,Koalang,Language_50,0.77958614,0.62810886,0.6038296,0.16451555,0.16342841,0.19536433,0.72331715,0.20302042,0.3071145,0.13970329,0.3038069,0.39705655,0.39007983,0.40882757,0.21450906,0.16775334,0.22092246,0.21071823,0.26789284,0.32514697,0.28966472,0.414096,0.37895724,0.10163663,0.18031828,0.2923237,0.64682674
LSI,BigBaseline01,Linguistic turn,Language_50,0.3280368,0.42502633,0.23083326,0.19356726,0.14476638,0.11505324,0.20635319,0.1817107,0.40326303,0.20911539,0.10410339,0.33477062,0.3233548,0.33390015,0.4013396,0.059195645,0.19032606,0.26528153,0.6658139,0.22265682,0.746798,0.2818049,0.24307576,0.3832181,0.25893897,0.17088047,0.6266587
LSI,BigBaseline01,Minan-ur-Rahman,Language_50,0.52408254,0.51264167,0.4109364,0.38279322,0.30246884,0.37794426,0.42936558,0.38304636,0.52729,0.18962923,0.35165963,0.54993945,0.4102673,0.516357,0.60159534,0.18045264,0.29679385,0.7865287,0.3792642,0.4376539,0.3715361,0.49475121,0.3482182,0.15019931,0.3471886,0.36989722,0.6910827
LSI,BigBaseline01,Mock language,Language_50,0.30032638,0.58963156,0.23377731,0.22394209,0.39908302,0.28206587,0.31018418,0.253533,0.26675552,0.079594284,0.58303857,0.40667018,0.8268718,0.22053486,0.15649506,0.14508483,0.27106977,0.22336529,0.23323537,0.2960027,0.30163693,0.38967168,0.25816375,0.058012072,0.2906453,0.23543379,0.59042907
LSI,BigBaseline01,Oracy,Language_50,0.2074916,0.28483352,0.22604719,0.23025145,0.17428954,0.9807981,0.21837808,0.34232736,0.3948965,0.08562171,0.12959869,0.37440842,0.35986966,0.17576385,0.07758611,0.14843893,0.13532986,0.14780952,0.15309852,0.16566634,0.17157619,0.2094904,0.14385822,0.025589533,0.12767324,0.1581161,0.32148585
LSI,BigBaseline01,Oroqen language,Language_50,0.21984641,0.38593832,0.11384528,0.10843648,0.09290116,0.1055363,0.17089485,0.101766594,0.14787084,0.050639734,0.15634404,0.19029354,0.83503777,0.13496035,0.087492704,0.06624049,0.10775116,0.111614674,0.13594556,0.29315805,0.19247481,0.24216545,0.1451981,0.032286588,0.34778973,0.113513425,0.6671259
LSI,BigBaseline01,Plato's Problem,Language_50,0.20171691,0.5267564,0.13793968,0.14963791,0.117942944,0.20718011,0.1566166,0.11810743,0.22445035,0.14399831,0.08712416,0.24343437,0.9626508,0.15931469,0.101143755,0.04070814,0.113009304,0.14639828,0.31426865,0.15793146,0.30706918,0.19252472,0.10778928,0.05390636,0.21076399,0.09978737,0.4160161
LSI,BigBaseline01,Presidential Statement,Language_50,0.48312294,0.5303897,0.23077944,0.23033041,0.27329174,0.2587463,0.40657076,0.19503489,0.27035365,0.33594984,0.12731993,0.41577527,0.7804519,0.24878356,0.15554015,0.1718941,0.27957433,0.25865942,0.24063075,0.30471897,0.6334559,0.26460183,0.17485759,0.04563406,0.1935977,0.17214322,0.59791934
LSI,BigBaseline01,Speech-to-text reporter,Language_50,0.31515384,0.43884337,0.35421488,0.3234598,0.8798402,0.34690565,0.31407195,0.4005439,0.33840254,0.15969318,0.29469955,0.49007562,0.5543469,0.25228396,0.16192052,0.17037165,0.3352401,0.2773263,0.21784967,0.38473472,0.41781086,0.30446818,0.28120607,0.07167624,0.2477144,0.25284034,0.4668584
LSI,BigBaseline01,Total loss,Language_50,0.36749852,0.31704584,0.5501112,0.34237677,0.57168925,0.35379273,0.31238234,0.79773587,0.476161,0.13195392,0.38289565,0.46101362,0.15926696,0.3334742,0.37242973,0.27483594,0.34070802,0.25055265,0.21237452,0.33356902,0.45022252,0.4504085,0.59971,0.24315308,0.16620204,0.61055326,0.33966482
LSI,BigBaseline01,Turn construction unit,Language_50,0.12769352,0.31604746,0.06374895,0.075068824,0.05845423,0.110682756,0.09630898,0.05833053,0.09795107,0.046858825,0.05611696,0.10178254,0.9568374,0.07717495,0.042713217,0.033303443,0.04868886,0.06923635,0.12461774,0.080822214,0.16257375,0.09249863,0.059477612,0.013200194,0.12846556,0.051810473,0.34793237
LSI,BigBaseline01,Vulgar Latin vocabulary,Language_50,0.67591065,0.60756963,0.2542081,0.2731317,0.2100867,0.14829239,0.36654565,0.16316925,0.3094158,0.18433371,0.119334884,0.41284317,0.49002,0.32636094,0.2395666,0.22557583,0.23028317,0.38866937,0.31730965,0.47016826,0.32947722,0.43486565,0.35253,0.060091466,0.4765961,0.23459977,0.8420808
LSI,BigBaseline01,Dini Ya Msambwa,Religion_50,0.4949227,0.46287197,0.35521394,0.26019907,0.2872086,0.21990575,0.28828055,0.25076997,0.3953515,0.18861516,0.32629263,0.654494,0.18904977,0.32892102,0.5282917,0.13371405,0.43475023,0.7551661,0.36798292,0.4794686,0.36430365,0.7181051,0.39460588,0.20897141,0.19928342,0.3365328,0.5853736
LSI,BigBaseline01,Earthseed,Religion_50,0.563647,0.69344693,0.29764903,0.5794523,0.4358281,0.29187053,0.40205967,0.38301474,0.50917095,0.15647393,0.25638273,0.8571066,0.33941552,0.5085258,0.33978233,0.20645298,0.38241053,0.66255605,0.4961443,0.52026993,0.40660676,0.5045957,0.35083646,0.14134753,0.26207975,0.24587096,0.58591044
LSI,BigBaseline01,Haizidao,Religion_50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LSI,BigBaseline01,Invisible Pink Unicorn,Religion_50,0.5370497,0.4953404,0.30802947,0.22963943,0.22035936,0.17227525,0.4746509,0.19064547,0.55139583,0.31253272,0.2480089,0.3805468,0.30798715,0.39514384,0.32351553,0.11241837,0.24648854,0.83716553,0.5054597,0.44956258,0.4500007,0.41389075,0.34824997,0.15637237,0.24084514,0.2690648,0.5621765
LSI,BigBaseline01,List of apologetic works,Religion_50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LSI,BigBaseline01,Political science of religion,Religion_50,0.32302815,0.33749908,0.3090816,0.19670717,0.54076374,0.24469355,0.27476016,0.719756,0.36634213,0.08678062,0.29105383,0.4824447,0.11881835,0.25536668,0.1423814,0.2799712,0.5881307,0.432015,0.22833997,0.667658,0.23755008,0.6077751,0.37900013,0.044176467,0.14854035,0.29940277,0.4904361
LSI,BigBaseline01,Ptolemaic cult of Alexander the Great,Religion_50,0.3595928,0.3918493,0.18602738,0.1687955,0.25287068,0.165847,0.21938948,0.17958745,0.24594088,0.08179496,0.199519,0.37861985,0.15434992,0.26816595,0.1561178,0.073223114,0.4309726,0.94029075,0.2619711,0.48096502,0.18073256,0.52983457,0.25721726,0.041220404,0.20599067,0.19182561,0.43106195
LSI,BigBaseline01,Section 2 of the Canadian Charter of Rights and Freedoms,Religion_50,0.23518042,0.33419058,0.18708052,0.24074677,0.9843435,0.33995616,0.21612696,0.3539726,0.24941988,0.059797294,0.25320837,0.4847771,0.16411301,0.22653824,0.10081646,0.15897003,0.43273973,0.4025988,0.24700855,0.38121486,0.35791448,0.2834653,0.22800511,0.027177826,0.12945248,0.1702343,0.27632093
LSI,BigBaseline01,Sirotci,Religion_50,0.3950784,0.40174693,0.22515148,0.5066472,0.23639256,0.14132926,0.18765286,0.23738185,0.29979417,0.10274876,0.21806607,0.41479412,0.22823165,0.35379905,0.17125931,0.08559947,0.40561488,0.72141355,0.25652498,0.7552533,0.23531766,0.5336748,0.31489894,0.06327317,0.22409755,0.24218163,0.37852514
LSI,BigBaseline01,United States Ambassador-at-Large for International Religious Freedom,Religion_50,0.3658809,0.40083045,0.24331768,0.27221686,0.4928602,0.49427325,0.29078972,0.28505486,0.355715,0.0890834,0.35523522,0.5986908,0.18613455,0.44142887,0.16626109,0.15710105,0.6411351,0.84047,0.45478055,0.41572875,0.30153328,0.43351346,0.26535997,0.044423595,0.17330883,0.25521848,0.4112216
LSI,BigBaseline01,Zindīq,Religion_50,0.31870082,0.3830075,0.19812366,0.21448925,0.46648908,0.2018407,0.1901102,0.23677018,0.37387854,0.18864504,0.31217352,0.5155218,0.1779634,0.32780316,0.24896522,0.085549176,0.6257352,0.815081,0.6473328,0.44709557,0.50189793,0.57463866,0.26578066,0.10213986,0.19187596,0.23136269,0.47561815
LSI,BigBaseline01,Ancient Aliens,Science_50,0.40828001,0.41211402,0.37682247,0.3035291,0.2881697,0.25681072,0.4166342,0.27315727,0.75255114,0.12915629,0.34920987,0.45004854,0.20378715,0.764215,0.33465838,0.15448503,0.28948486,0.2684215,0.35485888,0.33428517,0.32336205,0.5496776,0.407406,0.3550485,0.20642497,0.34804386,0.48376903
