Algorithmus,Baseline,Category,testedFiles,correctFiles
bloomfilter,RandomBaseline,Language_50,48,0.14583333333333334
bloomfilter,RandomBaseline,Reference_50,37,0.13513513513513514
bloomfilter,RandomBaseline,Religion_50,48,0.22916666666666666
bloomfilter,RandomBaseline,Science_50,49,0.061224489795918366
bloomfilter,RandomBaseline,Arts_50,48,0.4791666666666667
bloomfilter,RandomBaseline,Entertainment_50,45,0.4
bloomfilter,RandomBaseline,Business_50,49,0.30612244897959184
bloomfilter,RandomBaseline,Society_50,49,0.40816326530612246
bloomfilter,RandomBaseline,Life_50,47,0.0851063829787234
bloomfilter,RandomBaseline,People_50,44,0.045454545454545456
bloomfilter,RandomBaseline,Universe_50,35,0.3142857142857143
bloomfilter,RandomBaseline,Nature_50,46,0.41304347826086957
bloomfilter,RandomBaseline,Concepts_50,43,0.32558139534883723
bloomfilter,RandomBaseline,History_50,48,0.1875
bloomfilter,RandomBaseline,Technology_50,49,0.04081632653061224
bloomfilter,RandomBaseline,Culture_50,48,0.20833333333333334
bloomfilter,RandomBaseline,Mathematics_50,47,0.2765957446808511
bloomfilter,RandomBaseline,Sports_50,47,0.3191489361702128
bloomfilter,RandomBaseline,Politics_50,48,0.125
bloomfilter,RandomBaseline,Geography_50,47,0.3404255319148936
bloomfilter,RandomBaseline,Humanities_50,50,0
bloomfilter,RandomBaseline,World_50,47,0.3191489361702128
bloomfilter,RandomBaseline,Education_50,47,0.46808510638297873
bloomfilter,RandomBaseline,Philosophy_50,43,0.06976744186046512
bloomfilter,RandomBaseline,Law_50,49,0.3469387755102041
bloomfilter,RandomBaseline,Events_50,37,0.08108108108108109
bloomfilter,RandomBaseline,Health_50,49,0.32653061224489793
LSI,RandomBaseline,Language_50,48,0
LSI,RandomBaseline,Reference_50,37,0
LSI,RandomBaseline,Religion_50,48,0
LSI,RandomBaseline,Science_50,49,0
LSI,RandomBaseline,Arts_50,48,0
LSI,RandomBaseline,Entertainment_50,45,0
LSI,RandomBaseline,Business_50,49,0
LSI,RandomBaseline,Society_50,49,0
LSI,RandomBaseline,Life_50,47,0.02127659574468085
LSI,RandomBaseline,People_50,44,0.045454545454545456
LSI,RandomBaseline,Universe_50,35,0.17142857142857143
LSI,RandomBaseline,Nature_50,46,0.10869565217391304
LSI,RandomBaseline,Concepts_50,43,0
LSI,RandomBaseline,History_50,48,0
LSI,RandomBaseline,Technology_50,49,0
LSI,RandomBaseline,Culture_50,48,0
LSI,RandomBaseline,Mathematics_50,47,0.6382978723404256
LSI,RandomBaseline,Sports_50,47,0
LSI,RandomBaseline,Politics_50,48,0
LSI,RandomBaseline,Geography_50,47,0
LSI,RandomBaseline,Humanities_50,50,0
LSI,RandomBaseline,World_50,47,0.0851063829787234
LSI,RandomBaseline,Education_50,47,0
LSI,RandomBaseline,Philosophy_50,43,0
LSI,RandomBaseline,Law_50,49,0
LSI,RandomBaseline,Events_50,37,0
LSI,RandomBaseline,Health_50,49,0
