Algorithmus,Baseline,Category,testedFiles,correctFiles
bloomfilter,RandomBaseline02,Language_50,48,0.0625
bloomfilter,RandomBaseline02,Reference_50,37,0.05405405405405406
bloomfilter,RandomBaseline02,Religion_50,48,0.4375
bloomfilter,RandomBaseline02,Science_50,49,0.02040816326530612
bloomfilter,RandomBaseline02,Arts_50,48,0.2916666666666667
bloomfilter,RandomBaseline02,Entertainment_50,45,0.6
bloomfilter,RandomBaseline02,Business_50,49,0.22448979591836735
bloomfilter,RandomBaseline02,Society_50,49,0.3469387755102041
bloomfilter,RandomBaseline02,Life_50,47,0.0851063829787234
bloomfilter,RandomBaseline02,People_50,44,0.022727272727272728
bloomfilter,RandomBaseline02,Universe_50,35,0.2571428571428571
bloomfilter,RandomBaseline02,Nature_50,46,0.5434782608695652
bloomfilter,RandomBaseline02,Concepts_50,43,0.3488372093023256
bloomfilter,RandomBaseline02,History_50,48,0.1875
bloomfilter,RandomBaseline02,Technology_50,49,0.02040816326530612
bloomfilter,RandomBaseline02,Culture_50,48,0.125
bloomfilter,RandomBaseline02,Mathematics_50,47,0.1276595744680851
bloomfilter,RandomBaseline02,Sports_50,47,0.10638297872340426
bloomfilter,RandomBaseline02,Politics_50,48,0.16666666666666666
bloomfilter,RandomBaseline02,Geography_50,47,0.14893617021276595
bloomfilter,RandomBaseline02,Humanities_50,50,0
bloomfilter,RandomBaseline02,World_50,47,0.23404255319148937
bloomfilter,RandomBaseline02,Education_50,47,0.425531914893617
bloomfilter,RandomBaseline02,Philosophy_50,43,0
bloomfilter,RandomBaseline02,Law_50,49,0.4489795918367347
bloomfilter,RandomBaseline02,Events_50,37,0.02702702702702703
bloomfilter,RandomBaseline02,Health_50,49,0.2653061224489796
LSI,RandomBaseline02,Language_50,48,0
LSI,RandomBaseline02,Reference_50,37,0
LSI,RandomBaseline02,Religion_50,48,0
LSI,RandomBaseline02,Science_50,49,0
LSI,RandomBaseline02,Arts_50,48,0
LSI,RandomBaseline02,Entertainment_50,45,0
LSI,RandomBaseline02,Business_50,49,0
LSI,RandomBaseline02,Society_50,49,0
LSI,RandomBaseline02,Life_50,47,0.02127659574468085
LSI,RandomBaseline02,People_50,44,0.4318181818181818
LSI,RandomBaseline02,Universe_50,35,0.14285714285714285
LSI,RandomBaseline02,Nature_50,46,0.06521739130434782
LSI,RandomBaseline02,Concepts_50,43,0
LSI,RandomBaseline02,History_50,48,0
LSI,RandomBaseline02,Technology_50,49,0
LSI,RandomBaseline02,Culture_50,48,0
LSI,RandomBaseline02,Mathematics_50,47,0.425531914893617
LSI,RandomBaseline02,Sports_50,47,0
LSI,RandomBaseline02,Politics_50,48,0
LSI,RandomBaseline02,Geography_50,47,0
LSI,RandomBaseline02,Humanities_50,50,0
LSI,RandomBaseline02,World_50,47,0.0425531914893617
LSI,RandomBaseline02,Education_50,47,0
LSI,RandomBaseline02,Philosophy_50,43,0
LSI,RandomBaseline02,Law_50,49,0.02040816326530612
LSI,RandomBaseline02,Events_50,37,0
LSI,RandomBaseline02,Health_50,49,0
