Algorithm,Baseline,originalTitle,originalCategory,Language_50,Reference_50,Religion_50,Science_50,Arts_50,Entertainment_50,Business_50,Society_50,Life_50,People_50,Universe_50,Nature_50,Concepts_50,History_50,Technology_50,Culture_50,Mathematics_50,Sports_50,Politics_50,Geography_50,Humanities_50,World_50,Education_50,Philosophy_50,Law_50,Events_50,Health_50
bloomfilter,RandomBaseline03,Angelic tongues,Language_50,0.44,0.32,0.38,0.38,0.24,0.36,0.26,0.28,0.34,0.36,0.32,0.28,0.32,0.4,0.24,0.34,0.3,0.28,0.32,0.3,0.32,0.3,0.28,0.22,0.26,0.28,0.32
bloomfilter,RandomBaseline03,Arendalsk,Language_50,0.1,0.12,0.08,0.08,0.06,0.08,0.02,0.08,0.08,0.06,0.04,0.08,0.12,0.08,0.06,0.08,0.06,0.06,0.08,0.06,0.08,0.08,0.06,0.06,0.06,0.06,0.06
bloomfilter,RandomBaseline03,Authors' conference,Language_50,0.54,0.5,0.44,0.58,0.5,0.52,0.24,0.56,0.58,0.48,0.26,0.36,0.58,0.58,0.42,0.5,0.54,0.52,0.5,0.54,0.4,0.56,0.46,0.36,0.4,0.52,0.42
bloomfilter,RandomBaseline03,Baenan language,Language_50,0.06,0.02,0.06,0.04,0.02,0.04,0.02,0.04,0.06,0.06,0.06,0.04,0.06,0.06,0.04,0.04,0.06,0.04,0.06,0.04,0.06,0.08,0.08,0.04,0.06,0.06,0.04
bloomfilter,RandomBaseline03,Bahasa,Language_50,0.12,0.08,0.12,0.08,0.08,0.08,0.06,0.04,0.1,0.12,0.1,0.08,0.12,0.1,0.1,0.06,0.12,0.1,0.12,0.08,0.08,0.12,0.1,0.08,0.08,0.12,0.08
bloomfilter,RandomBaseline03,Bangladeshi English,Language_50,0.5,0.38,0.4,0.5,0.42,0.46,0.22,0.4,0.54,0.4,0.44,0.44,0.44,0.44,0.42,0.44,0.52,0.46,0.44,0.46,0.34,0.5,0.5,0.36,0.38,0.5,0.44
bloomfilter,RandomBaseline03,Coaxial power connector,Language_50,0.54,0.54,0.6,0.56,0.6,0.58,0.36,0.38,0.6,0.54,0.32,0.58,0.56,0.6,0.38,0.54,0.52,0.56,0.5,0.48,0.38,0.48,0.52,0.46,0.46,0.48,0.44
bloomfilter,RandomBaseline03,Communication theory,Language_50,0.76,0.72,0.72,0.72,0.66,0.58,0.16,0.68,0.72,0.7,0.48,0.74,0.72,0.7,0.66,0.68,0.7,0.7,0.7,0.66,0.64,0.7,0.64,0.72,0.48,0.62,0.68
bloomfilter,RandomBaseline03,Community interpreting,Language_50,0.12,0.14,0.12,0.14,0.12,0.1,0.06,0.12,0.14,0.14,0.08,0.1,0.16,0.12,0.16,0.14,0.14,0.12,0.1,0.14,0.14,0.16,0.12,0.1,0.1,0.14,0.1
bloomfilter,RandomBaseline03,Complex text layout,Language_50,0.46,0.32,0.4,0.38,0.38,0.34,0.22,0.42,0.48,0.3,0.2,0.22,0.42,0.4,0.38,0.38,0.42,0.3,0.34,0.44,0.34,0.4,0.34,0.4,0.24,0.36,0.32
bloomfilter,RandomBaseline03,Compulsive talking,Language_50,0.48,0.5,0.46,0.46,0.48,0.44,0.24,0.48,0.52,0.54,0.32,0.52,0.48,0.46,0.44,0.46,0.48,0.44,0.54,0.54,0.42,0.46,0.5,0.4,0.3,0.42,0.4
bloomfilter,RandomBaseline03,Cooperative principle,Language_50,0.6,0.56,0.56,0.48,0.5,0.56,0.34,0.44,0.68,0.62,0.44,0.56,0.62,0.58,0.58,0.56,0.62,0.52,0.56,0.56,0.54,0.6,0.56,0.44,0.4,0.6,0.44
bloomfilter,RandomBaseline03,Discourse-completion task,Language_50,0.38,0.34,0.34,0.24,0.32,0.34,0.2,0.32,0.4,0.28,0.2,0.32,0.4,0.34,0.3,0.3,0.3,0.28,0.36,0.4,0.24,0.32,0.34,0.2,0.24,0.28,0.24
bloomfilter,RandomBaseline03,Diwan-khane,Language_50,0.16,0.1,0.08,0.12,0.1,0.12,0.16,0.12,0.18,0.12,0.1,0.08,0.06,0.16,0.08,0.1,0.12,0.18,0.08,0.14,0.06,0.12,0.16,0.04,0.08,0.14,0.1
bloomfilter,RandomBaseline03,Donor principle,Language_50,0.24,0.2,0.16,0.26,0.22,0.2,0.16,0.2,0.26,0.16,0.2,0.14,0.2,0.2,0.16,0.14,0.2,0.22,0.18,0.22,0.16,0.18,0.2,0.18,0.24,0.2,0.16
bloomfilter,RandomBaseline03,Dora Sakayan,Language_50,0.86,0.66,0.64,0.72,0.62,0.7,0.36,0.52,0.74,0.62,0.56,0.66,0.62,0.68,0.62,0.76,0.78,0.68,0.76,0.72,0.58,0.74,0.76,0.68,0.48,0.72,0.64
bloomfilter,RandomBaseline03,Empty name,Language_50,0.2,0.18,0.18,0.2,0.14,0.18,0.1,0.1,0.16,0.22,0.14,0.2,0.16,0.18,0.18,0.14,0.18,0.12,0.12,0.14,0.14,0.16,0.16,0.16,0.14,0.16,0.14
bloomfilter,RandomBaseline03,Eternal statement,Language_50,0.1,0.06,0.08,0.08,0.06,0.1,0.04,0.06,0.08,0.08,0.04,0.06,0.1,0.1,0.1,0.08,0.08,0.08,0.06,0.04,0.1,0.1,0.08,0.04,0.04,0.08,0.06
bloomfilter,RandomBaseline03,IETF language tag,Language_50,0.68,0.6,0.64,0.68,0.66,0.64,0.32,0.66,0.74,0.68,0.42,0.58,0.66,0.62,0.62,0.62,0.7,0.56,0.66,0.68,0.48,0.68,0.78,0.54,0.5,0.58,0.6
bloomfilter,RandomBaseline03,Koalang,Language_50,0.24,0.26,0.2,0.28,0.24,0.38,0.28,0.2,0.36,0.26,0.22,0.26,0.22,0.36,0.26,0.26,0.28,0.32,0.2,0.3,0.2,0.26,0.18,0.2,0.2,0.28,0.34
bloomfilter,RandomBaseline03,Languages of Palestine,Language_50,0.16,0.14,0.12,0.16,0.16,0.16,0.06,0.16,0.16,0.12,0.14,0.14,0.16,0.1,0.1,0.12,0.16,0.14,0.14,0.14,0.12,0.16,0.18,0.1,0.18,0.16,0.12
bloomfilter,RandomBaseline03,Linguistic turn,Language_50,0.68,0.66,0.8,0.64,0.6,0.62,0.16,0.5,0.68,0.66,0.46,0.66,0.62,0.62,0.58,0.66,0.62,0.6,0.64,0.64,0.72,0.68,0.66,0.58,0.54,0.6,0.62
bloomfilter,RandomBaseline03,Linguistics in education,Language_50,0.6,0.46,0.52,0.56,0.52,0.44,0.14,0.42,0.52,0.5,0.4,0.46,0.68,0.52,0.44,0.52,0.52,0.46,0.5,0.58,0.5,0.62,0.54,0.44,0.38,0.5,0.42
bloomfilter,RandomBaseline03,List of municipalities of Finland in which Finnish is not the sole official language,Language_50,0.26,0.22,0.22,0.26,0.28,0.18,0.14,0.2,0.3,0.24,0.24,0.24,0.3,0.24,0.2,0.3,0.28,0.24,0.28,0.32,0.26,0.26,0.32,0.18,0.22,0.3,0.22
bloomfilter,RandomBaseline03,Lithuanian press ban,Language_50,0.78,0.56,0.66,0.62,0.58,0.68,0.22,0.62,0.82,0.58,0.62,0.6,0.72,0.72,0.6,0.68,0.9,0.7,0.68,0.76,0.6,0.72,0.78,0.52,0.58,0.82,0.58
bloomfilter,RandomBaseline03,Minan-ur-Rahman,Language_50,0.66,0.66,0.62,0.54,0.52,0.6,0.4,0.46,0.72,0.58,0.5,0.5,0.56,0.68,0.56,0.56,0.64,0.52,0.54,0.64,0.52,0.58,0.66,0.46,0.42,0.54,0.44
bloomfilter,RandomBaseline03,Mitigated speech,Language_50,0.24,0.2,0.22,0.22,0.2,0.18,0.1,0.14,0.2,0.22,0.24,0.2,0.24,0.2,0.22,0.2,0.26,0.22,0.24,0.24,0.2,0.26,0.22,0.22,0.16,0.24,0.2
bloomfilter,RandomBaseline03,Mock language,Language_50,0.66,0.6,0.64,0.62,0.48,0.46,0.36,0.54,0.74,0.58,0.48,0.52,0.68,0.7,0.6,0.64,0.6,0.54,0.56,0.62,0.46,0.58,0.6,0.56,0.54,0.58,0.54
bloomfilter,RandomBaseline03,National Center for Voice and Speech,Language_50,0.44,0.44,0.32,0.4,0.42,0.42,0.38,0.48,0.6,0.52,0.28,0.46,0.52,0.52,0.42,0.46,0.52,0.48,0.54,0.54,0.32,0.42,0.54,0.38,0.44,0.38,0.34
bloomfilter,RandomBaseline03,Navajo Family Sign,Language_50,0.02,0.0,0.02,0.02,0.0,0.02,0.02,0.0,0.02,0.02,0.02,0.0,0.02,0.02,0.02,0.02,0.02,0.0,0.02,0.02,0.0,0.0,0.02,0.02,0.0,0.02,0.0
