Algorithm,Baseline,originalTitle,originalCategory,Language_50,Reference_50,Religion_50,Science_50,Arts_50,Entertainment_50,Business_50,Society_50,Life_50,People_50,Universe_50,Nature_50,Concepts_50,History_50,Technology_50,Culture_50,Mathematics_50,Sports_50,Politics_50,Geography_50,Humanities_50,World_50,Education_50,Philosophy_50,Law_50,Events_50,Health_50
bloomfilter,RandomBaseline_test,Angelic tongues,Language_50,0.4,0.2,0.22,0.28,0.24,0.34,0.32,0.24,0.24,0.26,0.16,0.18,0.32,0.4,0.28,0.22,0.24,0.16,0.3,0.26,0.2,0.22,0.22,0.24,0.12,0.16,0.24
bloomfilter,RandomBaseline_test,Arendalsk,Language_50,0.04,0.06,0.08,0.06,0.02,0.04,0.04,0.08,0.04,0.06,0.04,0.06,0.12,0.08,0.02,0.06,0.06,0.02,0.04,0.06,0.06,0.06,0.06,0.04,0.02,0.0,0.06
bloomfilter,RandomBaseline_test,Authors' conference,Language_50,0.38,0.28,0.32,0.3,0.32,0.38,0.34,0.38,0.56,0.34,0.22,0.26,0.46,0.34,0.36,0.3,0.26,0.32,0.28,0.5,0.3,0.32,0.32,0.24,0.24,0.36,0.32
bloomfilter,RandomBaseline_test,Baenan language,Language_50,0.06,0.0,0.08,0.06,0.02,0.04,0.06,0.06,0.06,0.06,0.04,0.02,0.08,0.06,0.04,0.04,0.06,0.04,0.04,0.06,0.08,0.1,0.06,0.06,0.02,0.02,0.04
bloomfilter,RandomBaseline_test,Bahasa,Language_50,0.14,0.08,0.14,0.1,0.06,0.1,0.14,0.12,0.1,0.1,0.08,0.1,0.16,0.08,0.12,0.08,0.12,0.08,0.1,0.1,0.12,0.1,0.1,0.12,0.06,0.04,0.1
bloomfilter,RandomBaseline_test,Bangladeshi English,Language_50,0.42,0.26,0.32,0.46,0.44,0.5,0.46,0.4,0.52,0.36,0.38,0.36,0.5,0.48,0.4,0.4,0.54,0.42,0.46,0.46,0.32,0.46,0.5,0.38,0.34,0.48,0.38
bloomfilter,RandomBaseline_test,Coaxial power connector,Language_50,0.28,0.34,0.34,0.24,0.38,0.32,0.32,0.3,0.34,0.3,0.2,0.36,0.26,0.24,0.26,0.26,0.24,0.26,0.3,0.26,0.12,0.32,0.26,0.26,0.2,0.22,0.26
bloomfilter,RandomBaseline_test,Communication theory,Language_50,0.58,0.56,0.6,0.54,0.42,0.5,0.36,0.58,0.6,0.46,0.28,0.54,0.52,0.54,0.46,0.56,0.44,0.44,0.4,0.52,0.5,0.46,0.52,0.56,0.28,0.3,0.5
bloomfilter,RandomBaseline_test,Community interpreting,Language_50,0.12,0.14,0.16,0.16,0.18,0.12,0.18,0.16,0.18,0.18,0.08,0.12,0.22,0.12,0.18,0.16,0.22,0.14,0.18,0.22,0.16,0.16,0.2,0.1,0.12,0.18,0.18
bloomfilter,RandomBaseline_test,Complex text layout,Language_50,0.38,0.3,0.3,0.32,0.36,0.38,0.28,0.4,0.44,0.4,0.26,0.3,0.46,0.34,0.46,0.38,0.34,0.28,0.32,0.4,0.26,0.44,0.3,0.44,0.22,0.28,0.42
bloomfilter,RandomBaseline_test,Compulsive talking,Language_50,0.62,0.46,0.52,0.46,0.56,0.48,0.4,0.52,0.58,0.56,0.34,0.48,0.58,0.44,0.48,0.5,0.4,0.38,0.44,0.58,0.44,0.46,0.46,0.36,0.42,0.4,0.42
bloomfilter,RandomBaseline_test,Cooperative principle,Language_50,0.48,0.28,0.42,0.38,0.36,0.42,0.32,0.4,0.36,0.4,0.3,0.46,0.44,0.46,0.44,0.5,0.38,0.28,0.34,0.4,0.46,0.44,0.42,0.36,0.22,0.24,0.3
bloomfilter,RandomBaseline_test,Discourse-completion task,Language_50,0.26,0.22,0.32,0.18,0.26,0.26,0.22,0.32,0.38,0.28,0.12,0.22,0.44,0.28,0.3,0.28,0.24,0.18,0.34,0.36,0.28,0.3,0.3,0.18,0.22,0.18,0.26
bloomfilter,RandomBaseline_test,Diwan-khane,Language_50,0.24,0.12,0.14,0.22,0.12,0.3,0.16,0.2,0.16,0.16,0.16,0.14,0.12,0.14,0.18,0.16,0.24,0.18,0.2,0.18,0.14,0.12,0.2,0.06,0.16,0.2,0.16
bloomfilter,RandomBaseline_test,Donor principle,Language_50,0.2,0.14,0.14,0.2,0.18,0.12,0.16,0.26,0.2,0.08,0.14,0.1,0.18,0.16,0.18,0.18,0.24,0.1,0.18,0.2,0.16,0.16,0.18,0.18,0.2,0.14,0.16
bloomfilter,RandomBaseline_test,Dora Sakayan,Language_50,0.62,0.44,0.5,0.52,0.46,0.54,0.52,0.56,0.58,0.48,0.38,0.44,0.64,0.62,0.5,0.6,0.58,0.46,0.64,0.6,0.42,0.58,0.58,0.56,0.4,0.46,0.54
bloomfilter,RandomBaseline_test,Empty name,Language_50,0.2,0.22,0.18,0.16,0.12,0.22,0.1,0.18,0.18,0.22,0.2,0.2,0.22,0.22,0.26,0.24,0.18,0.14,0.14,0.16,0.22,0.2,0.12,0.22,0.1,0.12,0.12
bloomfilter,RandomBaseline_test,Eternal statement,Language_50,0.1,0.06,0.08,0.04,0.08,0.06,0.04,0.08,0.08,0.04,0.02,0.04,0.16,0.06,0.08,0.04,0.1,0.08,0.04,0.02,0.08,0.04,0.04,0.1,0.02,0.08,0.04
bloomfilter,RandomBaseline_test,IETF language tag,Language_50,0.48,0.42,0.5,0.46,0.44,0.44,0.46,0.54,0.54,0.34,0.22,0.42,0.62,0.36,0.4,0.36,0.48,0.4,0.42,0.46,0.28,0.54,0.42,0.46,0.32,0.32,0.46
bloomfilter,RandomBaseline_test,Koalang,Language_50,0.36,0.22,0.24,0.26,0.28,0.38,0.4,0.2,0.38,0.26,0.22,0.24,0.28,0.44,0.36,0.3,0.28,0.3,0.26,0.28,0.28,0.36,0.2,0.28,0.22,0.18,0.36
bloomfilter,RandomBaseline_test,Languages of Palestine,Language_50,0.22,0.16,0.14,0.2,0.14,0.16,0.18,0.18,0.18,0.14,0.12,0.12,0.16,0.16,0.14,0.14,0.2,0.1,0.16,0.18,0.14,0.24,0.24,0.16,0.12,0.18,0.16
bloomfilter,RandomBaseline_test,Linguistic turn,Language_50,0.64,0.4,0.6,0.56,0.5,0.62,0.36,0.48,0.54,0.52,0.34,0.58,0.52,0.58,0.64,0.6,0.36,0.38,0.48,0.5,0.58,0.64,0.46,0.54,0.24,0.36,0.4
bloomfilter,RandomBaseline_test,Linguistics in education,Language_50,0.66,0.42,0.56,0.6,0.48,0.48,0.4,0.54,0.6,0.6,0.34,0.5,0.74,0.48,0.46,0.62,0.56,0.38,0.44,0.7,0.56,0.66,0.56,0.48,0.36,0.36,0.4
bloomfilter,RandomBaseline_test,List of municipalities of Finland in which Finnish is not the sole official language,Language_50,0.24,0.18,0.26,0.24,0.26,0.16,0.26,0.28,0.32,0.2,0.2,0.14,0.26,0.22,0.2,0.2,0.32,0.2,0.26,0.32,0.2,0.28,0.34,0.18,0.24,0.3,0.2
bloomfilter,RandomBaseline_test,Lithuanian press ban,Language_50,0.54,0.38,0.52,0.6,0.28,0.62,0.5,0.56,0.66,0.52,0.42,0.34,0.54,0.58,0.46,0.5,0.66,0.52,0.6,0.7,0.42,0.58,0.62,0.42,0.4,0.62,0.52
bloomfilter,RandomBaseline_test,Minan-ur-Rahman,Language_50,0.58,0.38,0.46,0.46,0.38,0.42,0.52,0.42,0.4,0.44,0.4,0.34,0.48,0.54,0.48,0.38,0.5,0.32,0.4,0.38,0.46,0.5,0.38,0.44,0.22,0.3,0.38
bloomfilter,RandomBaseline_test,Mitigated speech,Language_50,0.2,0.2,0.2,0.24,0.2,0.26,0.18,0.16,0.2,0.18,0.14,0.18,0.24,0.18,0.26,0.18,0.16,0.22,0.22,0.24,0.12,0.28,0.18,0.18,0.1,0.14,0.18
